Current Time,Force Exerted,Target,Target Range,Max Forces,Average Max Force,Number of Trials
2022-11-26 15:52:29.610425,0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:52:30.114424,0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:52:30.356436,0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:52:30.653437,0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:52:30.999612,-0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:52:31.348508,-0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:52:31.694066,0.441,22.046,0.5,0.0,0.0,0
2022-11-26 15:52:32.045193,0.661,22.046,0.5,0.0,0.0,0
2022-11-26 15:52:32.393743,0.882,22.046,0.5,0.0,0.0,0
2022-11-26 15:52:32.741965,0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:52:33.089505,0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:52:33.437537,0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:52:33.784945,0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:52:34.130579,0.0,22.046,0.5,0.0,0.0,0
2022-11-26 15:52:34.130579,0.0,0.364,0.18188115,2.425,2.425,1
2022-11-26 15:52:39.871781,0.0,0.364,0.18188115,2.425,2.425,1
2022-11-26 15:52:40.219402,0.0,0.364,0.18188115,2.425,2.425,1
2022-11-26 15:52:40.568359,0.0,0.364,0.18188115,2.425,2.425,1
2022-11-26 15:52:40.917184,0.0,0.364,0.18188115,2.425,2.425,1
2022-11-26 15:52:41.256960,0.0,0.364,0.18188115,2.425,2.425,1
2022-11-26 15:52:41.608095,0.0,0.364,0.18188115,2.425,2.425,1
2022-11-26 15:52:41.608095,0.0,0.298,0.14881185,1.984,2.205,2
2022-11-26 15:52:47.345341,0.0,0.298,0.14881185,1.984,2.205,2
2022-11-26 15:52:47.690059,0.0,0.298,0.14881185,1.984,2.205,2
2022-11-26 15:52:48.038899,0.0,0.298,0.14881185,1.984,2.205,2
2022-11-26 15:52:48.396930,-0.0,0.298,0.14881185,1.984,2.205,2
2022-11-26 15:52:48.739314,0.0,0.298,0.14881185,1.984,2.205,2
2022-11-26 15:52:49.089400,-0.0,0.298,0.14881185,1.984,2.205,2
2022-11-26 15:52:49.089400,0.0,0.198,0.09920789999999999,1.323,1.911,3
2022-11-26 15:52:54.831947,0.0,0.198,0.09920789999999999,1.323,1.911,3
2022-11-26 15:52:55.180003,-0.0,0.198,0.09920789999999999,1.323,1.911,3
