Current Time,Force Exerted,Max Forces,Average Max Force,Number of Trials

2022-11-10 21:04:18.165911,0.0,0,0,0

2022-11-10 21:04:18.512779,-0.0,0,0,0

2022-11-10 21:04:18.861346,0.02,0,0,0

2022-11-10 21:04:19.211248,0.04,0,0,0

2022-11-10 21:04:19.559564,0.05,0,0,0

2022-11-10 21:04:19.908369,0.01,0,0,0

2022-11-10 21:04:20.258261,0.0,0,0,0

2022-11-10 21:04:20.606884,-0.0,0,0,0

2022-11-10 21:04:20.956113,-0.0,0,0,0

2022-11-10 21:04:21.303840,0.0,0,0,0

2022-11-10 21:04:21.653146,0.0,0.05,0.05,1

2022-11-10 21:04:27.233003,0.0,0.05,0.05,1

2022-11-10 21:04:27.581039,0.03,0.05,0.05,1

2022-11-10 21:04:27.929212,0.03,0.05,0.05,1

2022-11-10 21:04:28.272035,0.02,0.05,0.05,1

2022-11-10 21:04:28.626316,-0.0,0.05,0.05,1

2022-11-10 21:04:28.975896,-0.0,0.05,0.05,1

2022-11-10 21:04:29.324415,0.02,0.05,0.05,1

2022-11-10 21:04:29.672309,0.02,0.05,0.05,1

2022-11-10 21:04:30.021251,0.0,0.05,0.05,1

2022-11-10 21:04:30.370750,0.0,0.05,0.05,1

2022-11-10 21:04:30.718931,0.01,0.05,0.05,1

2022-11-10 21:04:31.068612,0.01,0.05,0.05,1

2022-11-10 21:04:31.417081,0.02,0.05,0.05,1

2022-11-10 21:04:31.765511,0.01,0.05,0.05,1

2022-11-10 21:04:32.114274,0.01,0.05,0.05,1

2022-11-10 21:04:32.462818,0.01,0.05,0.05,1

2022-11-10 21:04:32.811397,0.02,0.05,0.05,1

2022-11-10 21:04:33.159942,0.01,0.05,0.05,1

2022-11-10 21:04:33.509366,0.02,0.05,0.05,1

2022-11-10 21:04:33.857353,0.01,0.05,0.05,1

2022-11-10 21:04:34.205904,0.02,0.05,0.05,1

2022-11-10 21:04:34.555345,0.01,0.05,0.05,1

2022-11-10 21:04:34.904332,0.01,0.05,0.05,1

2022-11-10 21:04:35.250809,0.01,0.05,0.05,1

2022-11-10 21:04:35.601344,0.01,0.05,0.05,1

2022-11-10 21:04:36.257841,0.01,0.05,0.05,1

2022-11-10 21:04:36.717770,0.01,0.05,0.05,1

2022-11-10 21:04:36.778071,0.0,0.05,0.05,1

2022-11-10 21:04:36.996541,0.0,0.05,0.05,1

2022-11-10 21:04:37.343950,0.0,0.05,0.05,1

2022-11-10 21:04:37.694444,0.01,0.05,0.05,1

2022-11-10 21:04:38.042789,0.02,0.05,0.05,1

2022-11-10 21:04:38.391649,0.02,0.05,0.05,1

2022-11-10 21:04:38.740948,0.01,0.05,0.05,1

2022-11-10 21:04:39.085622,0.0,0.05,0.05,1

2022-11-10 21:04:39.437391,0.0,0.05,0.05,1

2022-11-10 21:04:39.786849,0.0,0.05,0.05,1

2022-11-10 21:04:40.135948,0.0,0.05,0.05,1

2022-11-10 21:04:40.483144,-0.0,0.04,0.07,2

2022-11-10 21:04:46.061922,-0.0,0.04,0.07,2

2022-11-10 21:04:46.411786,0.01,0.04,0.07,2

2022-11-10 21:04:46.762055,0.02,0.04,0.07,2

2022-11-10 21:04:47.109913,0.02,0.04,0.07,2

2022-11-10 21:04:47.459016,0.02,0.04,0.07,2

2022-11-10 21:04:47.807472,0.0,0.04,0.07,2

2022-11-10 21:04:48.157317,0.0,0.04,0.07,2

2022-11-10 21:04:48.505885,0.02,0.04,0.07,2

2022-11-10 21:04:48.853867,0.01,0.04,0.07,2

2022-11-10 21:04:49.202440,0.0,0.04,0.07,2

2022-11-10 21:04:49.552088,0.01,0.04,0.07,2

2022-11-10 21:04:49.900284,0.02,0.04,0.07,2

2022-11-10 21:04:50.249274,0.0,0.04,0.07,2

2022-11-10 21:04:50.598172,0.01,0.04,0.07,2

2022-11-10 21:04:50.945815,0.01,0.04,0.07,2

2022-11-10 21:04:51.291080,0.01,0.04,0.07,2

2022-11-10 21:04:51.645026,0.01,0.04,0.07,2

2022-11-10 21:04:51.992474,0.01,0.04,0.07,2

2022-11-10 21:04:52.342162,0.01,0.04,0.07,2

2022-11-10 21:04:52.686121,0.01,0.04,0.07,2

2022-11-10 21:04:53.039795,0.01,0.04,0.07,2

2022-11-10 21:04:53.387935,0.01,0.04,0.07,2

2022-11-10 21:04:53.736570,0.0,0.04,0.07,2

2022-11-10 21:04:54.084798,0.0,0.04,0.07,2

2022-11-10 21:04:54.433374,0.0,0.04,0.07,2

2022-11-10 21:04:54.783063,0.02,0.04,0.07,2

2022-11-10 21:04:55.131878,0.02,0.04,0.07,2

2022-11-10 21:04:55.480914,0.02,0.04,0.07,2

2022-11-10 21:04:55.829128,0.04,0.04,0.07,2

2022-11-10 21:04:56.177981,0.03,0.04,0.07,2

2022-11-10 21:04:56.526328,0.0,0.04,0.07,2

2022-11-10 21:04:56.875619,-0.0,0.04,0.07,2

2022-11-10 21:04:57.224271,0.0,0.04,0.07,2

2022-11-10 21:04:57.573051,0.0,0.04,0.07,2

2022-11-10 21:04:57.922322,0.0,0.04,0.07,2

2022-11-10 21:04:58.270108,0.0,0.04,0.07,2

2022-11-10 21:04:58.693334,0.0,0.05,0.07,3

2022-11-10 21:05:04.373013,0.0,0.05,0.07,3

2022-11-10 21:05:04.723195,0.0,0.05,0.07,3

2022-11-10 21:05:05.070134,0.02,0.05,0.07,3

2022-11-10 21:05:05.419574,0.03,0.05,0.07,3

2022-11-10 21:05:05.768160,0.02,0.05,0.07,3

2022-11-10 21:05:06.117293,0.01,0.05,0.07,3

2022-11-10 21:05:06.465703,0.0,0.05,0.07,3

2022-11-10 21:05:06.815876,0.0,0.05,0.07,3

2022-11-10 21:05:07.163355,0.02,0.05,0.07,3

2022-11-10 21:05:07.511632,0.03,0.05,0.07,3

2022-11-10 21:05:07.857478,0.02,0.05,0.07,3

2022-11-10 21:05:08.209428,0.0,0.05,0.07,3

2022-11-10 21:05:08.558459,0.0,0.05,0.07,3

2022-11-10 21:05:08.900232,0.01,0.05,0.07,3

2022-11-10 21:05:09.254980,0.02,0.05,0.07,3

2022-11-10 21:05:09.603994,0.0,0.05,0.07,3

